dataset,task,n,model,target,cfg_source,flash_bytes,ram_bytes,insns_per_inf,latency_us,determinism_insns,n_test,n_correct,explain_insns_per_inf,explain_latency_us,explain_agree,params
electricity,bin,45312,DTree-d6,cortex-m4f,recovered,392,0,51.25,0.5125,5,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0001}"
electricity,bin,45312,RF-20,cortex-m0,recovered,10376,0,817.3134766,17.0273641,18,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 1}"
electricity,bin,45312,RF-20,cortex-m4f,recovered,8466,0,574.4375,5.744375,13,16,16,,,,"{""n_estimators"": 20, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 1}"
electricity,bin,45312,RF-40,cortex-m0,recovered,18008,0,1511.688477,31.49350993,94,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 5}"
electricity,bin,45312,RF-40,cortex-m4f,recovered,14776,0,1090.8125,10.908125,79,16,16,,,,"{""n_estimators"": 40, ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 5}"
electricity,bin,45312,LinearSVM,cortex-m0,recovered,120,0,2424.688232,50.51433818,39,16,16,,,,"{""C"": 10.0}"
electricity,bin,45312,LinearSVM,cortex-m4f,recovered,112,0,88.31274414,0.883127441,0,16,16,,,,"{""C"": 10.0}"
electricity,bin,45312,LogReg,cortex-m0,recovered,120,0,2401.500732,50.03126526,25,16,16,,,,"{""C"": 100}"
electricity,bin,45312,LogReg,cortex-m4f,recovered,112,0,88.31274414,0.883127441,0,16,16,,,,"{""C"": 100}"
electricity,bin,45312,GaussianNB,cortex-m0,recovered,396,0,14799.06323,308.3138173,37,16,16,,,,"{""var_smoothing"": 1e-09}"
electricity,bin,45312,GaussianNB,cortex-m4f,recovered,384,0,282.3125,2.823125,0,16,16,,,,"{""var_smoothing"": 1e-09}"
spambase,bin,4601,DTree-d3,cortex-m0,recovered,174,0,99.43847656,2.071634928,8,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0}"
spambase,bin,4601,DTree-d3,cortex-m4f,recovered,170,0,42.5625,0.425625,4,16,16,,,,"{""min_samples_leaf"": 20, ""ccp_alpha"": 0.0}"
spambase,bin,4601,DTree-d6,cortex-m0,recovered,202,0,99.56347656,2.074239095,17,16,16,,,,"{""min_samples_leaf"": 50, ""ccp_alpha"": 0.0}"
