dataset,task,n,d_enc,model,track,fold,auc,acc,fit_s,lat_us,size,params
adult,bin,48842,70,XGBoost,tuned,1,0.9297746246991831,0.8736564093114674,0.2188348770141601,0.494995688888337,6332,"{""n_estimators"": 200, ""learning_rate"": 0.1, ""max_depth"": 6, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_lambda"": 5, ""min_child_weight"": 1}"
adult,bin,48842,70,EBM,default,1,0.9288083323454632,0.8726736686935692,60.91860032081604,0.3260627776104287,1634,{}
adult,bin,48842,70,EBM,tuned,1,0.9288904637241678,0.8727350899821879,24.78945016860962,0.3127074711709824,1098,"{""max_bins"": 512, ""learning_rate"": 0.05, ""max_rounds"": 5000, ""min_samples_leaf"": 10}"
adult,bin,48842,70,GA2M,default,1,0.9297234247064782,0.8743320434862724,69.03617405891418,0.4281605807856695,4164,"{""interactions"": 10}"
adult,bin,48842,70,GA2M,tuned,1,0.9300166770427564,0.8742092009090351,187.1028642654419,0.5058322313940281,11001,"{""interactions"": 20, ""max_bins"": 256, ""learning_rate"": 0.005}"
adult,bin,48842,70,RuleFit,default,1,0.9112721431419574,0.8525889073152755,12.65996551513672,3.0472211086239684,124,"{""max_rules"": 60}"
adult,bin,48842,70,RuleFit,tuned,1,0.9115906379761568,0.8552300227258768,154.24951577186584,4.887368533924826,179,"{""max_rules"": 120, ""tree_size"": 3}"
adult,bin,48842,70,FIGS,default,1,0.9002359282400136,0.8520361157177078,0.7310225963592529,3.078632437914114,20,"{""max_rules"": 20}"
adult,bin,48842,70,FIGS,tuned,1,0.9057958889131138,0.8536330692217923,2.0517914295196533,3.696154276998555,40,"{""max_rules"": 40}"
adult,bin,48842,70,L1-GAM,default,1,0.8437153226521783,0.815613291566857,1.0476360321044922,2.218430622607629,48,{}
adult,bin,48842,70,L1-GAM,tuned,1,0.8538531906268677,0.8243965358393219,1.6727197170257568,1.8572515896882176,74,"{""C"": 0.1, ""n_bins"": 32}"
adult,bin,48842,70,LogReg,default,2,0.9017697398868048,0.8495085995085995,0.91504168510437,0.0315889972433704,71,{}
adult,bin,48842,70,LogReg,tuned,2,0.9016751080414784,0.8492014742014742,0.7868916988372803,0.0314425484847085,71,"{""C"": 10}"
adult,bin,48842,70,DecisionTree,default,2,0.8633268431573039,0.8428746928746929,0.0564720630645751,0.04796196846177,29,"{""max_depth"": 4}"
adult,bin,48842,70,DecisionTree,tuned,2,0.8920311590639014,0.8541154791154791,0.0808954238891601,0.0590774292442078,67,"{""max_depth"": 6, ""min_samples_leaf"": 1, ""ccp_alpha"": 0.0001}"
adult,bin,48842,70,RandomForest,default,2,0.8977651026154355,0.8487100737100737,1.255256175994873,6.392737278481373,3254760,"{""n_estimators"": 300}"
adult,bin,48842,70,RandomForest,tuned,2,0.9101638436905796,0.8607493857493858,2.2675046920776367,3.3980066126043145,456560,"{""n_estimators"": 200, ""max_features"": 0.6, ""min_samples_leaf"": 5, ""max_depth"": 20}"
adult,bin,48842,70,HistGB,default,2,0.9243799411582708,0.8686117936117936,0.528670072555542,2.3846104924157445,3069,{}
adult,bin,48842,70,HistGB,tuned,2,0.925218091162702,0.8695945945945946,0.55051589012146,2.5849523942652146,3193,"{""learning_rate"": 0.1, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""l2_regularization"": 1.0, ""min_samples_leaf"": 10}"
adult,bin,48842,70,XGBoost,default,2,0.9252055806876408,0.8685503685503686,0.3248124122619629,0.7168813185258345,9736,"{""n_estimators"": 300, ""learning_rate"": 0.1, ""max_depth"": 6}"
adult,bin,48842,70,XGBoost,tuned,2,0.925329897703286,0.870085995085995,0.8082523345947266,1.5962182450353073,10954,"{""n_estimators"": 1000, ""learning_rate"": 0.03, ""max_depth"": 4, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 1, ""min_child_weight"": 10}"
adult,bin,48842,70,EBM,default,2,0.9247311776689576,0.8698402948402948,79.5853796005249,0.3603078809358563,1636,{}
adult,bin,48842,70,EBM,tuned,2,0.9247912320952248,0.8699017199017199,29.91348099708557,0.3199905376762371,1101,"{""max_bins"": 512, ""learning_rate"": 0.05, ""max_rounds"": 5000, ""min_samples_leaf"": 2}"
adult,bin,48842,70,GA2M,default,2,0.9254784064743522,0.8691031941031941,80.63775253295898,0.4323167355699094,7042,"{""interactions"": 10}"
